Job Title,Job Description,keyword
"WorkFusion - Machine Learning Senior Consultant	"," NC	The candidate will help manage Cognitive Automation Projects. The candidate will apply knowledge of technologies","AI/ML Developer	"
"Machine Learning Engineer	"," NC	Work with data engineering teams to enrich the data that is available for training models","Machine Learning Engineer	"
"Data Scientist	"," NC	O Collaborates with cross-functional data and product teams across business applications to access and manipulate data","Data Scientist	"
Data Science Consultant SME," NC	Perform data exploration and data mining. Discover business narratives told by the data and present them to other scientists",Data Science Consultant 
"Data Scientist	"," Inc	Charlotte","Data Scientist	"
"Data Scientist	"," NC	Opportunity to analyze various sets of data to help identify various trends along with optimizations. 3-5 years of experience sourcing cleaning and validating","Data Scientist	"
"Data Science Fellow	The Data Incubator	"," youâ€™ll have the skills and tools you need to become one of the leading data scientists of the future.	","Data Science Fellow	The Data Incubator	"
"Actuarial Data Scientist	"," NC	Further the development of their data analytics tool-kit. Create data analytics tools that will serve as the basis for establishing best estimate assumptions","Actuarial Data Scientist	"
Azure Cloud Enablement - Analytics & Cognitive," Consultant	Deloitte	Charlotte",Azure Cloud Enablement - Analytics & Cognitive
Azure Cloud Enablement - Analytics & Cognitive," Senior Consultant	Deloitte	Charlotte",Azure Cloud Enablement - Analytics & Cognitive
